training;age;emergency_breaking;braking_distance;power;miles;risk;group_name;group
0;74.49313769256501;1;38.26406752443869;122.52718371626688;28.74423609360195;0.47179208098740955;high;0
1;67.0742608175602;0;43.854011099939854;115.36789990590117;51.51968708734944;0.28270470097326594;high;0
0;47.691470836369675;0;34.730822523178276;126.49865765057783;52.320498334258616;0.2295028844938894;high;0
0;55.429717274730706;0;42.139071975764516;125.62925183590664;54.24103635803079;0.46900142231167374;high;0
0;41.08840756167049;1;31.490488849908324;241.44745795822726;41.18276173996385;0.13389215660731038;low;2
0;69.69387226743959;0;37.19331001778897;167.79745661196966;55.167090776971364;0.5924098272818652;high;0
0;49.55866361087804;0;38.35255349891007;164.67820308300475;34.77420308033285;0.23674966579998385;high;0
1;28.690421704087655;0;48.37429836457032;126.98107582424396;33.55617948994837;-0.0279284842180132;low;2
0;31.81704781201786;0;38.62598847623656;95.69976669092053;29.853749339361322;-0.0008528211195231371;low;2
0;37.59714645602131;1;28.993782632745408;128.36560849826407;39.237378758220714;-0.08228138160760785;low;2
0;33.707718489016344;0;30.005555465693753;226.19782979715865;36.691534658138565;0.12295999674165081;low;2
1;24.97289220081167;0;40.1701479317334;115.72137608871205;43.15779064319452;-0.05793429315648452;low;2
1;20.645370695199254;0;43.068854278949544;183.80920651722607;48.63530197976329;0.07990297480113559;low;2
0;20.11383181225496;0;41.877279288136265;146.20723322802468;25.525102908127387;0.25358378598608566;high;0
0;35.93898072317189;1;40.83785052900495;111.02487844222821;51.08093943130598;0.07273761830216692;low;2
0;26.85618164625545;0;45.811297987528334;159.95074123228824;32.2609376435487;0.3263649521594828;high;0
0;54.69268554519145;1;37.302043896314345;150.04606415025262;34.35568950700686;0.30274147283301683;high;0
0;22.306672329035738;0;44.474552780134125;197.10792072602857;47.974764037792035;0.4923279769324495;high;0
0;39.57580690762728;0;31.839925574867912;105.50131274717253;45.47939551290954;-0.007897488796447067;low;2
0;42.59321946055086;1;35.47526083530967;133.0000403776489;30.524143735986;0.002277855663281953;low;2
0;22.881966843583005;0;30.964793025340917;140.26288038209793;34.35091946386507;0.1083061449724947;low;2
0;48.149908591907284;1;38.625773496651036;126.92942697324898;76.59117904373952;0.32765791487906654;high;0
0;37.7115131002749;1;39.76869391366829;122.28089503514273;47.74470146795943;-0.007242024771845858;low;2
0;51.479365408155815;0;40.5705074611326;188.31997342050164;32.88929364548015;0.39143046768189593;high;0
0;39.26961249218171;0;40.309416764435674;156.86477222910756;32.650561371670015;0.1642967764719956;medium;1
0;39.09052828741896;1;35.36223334594136;101.73519161792007;50.4375738713705;0.05960601817146588;low;2
0;38.92864330584311;0;39.04879577793392;80.89241056406544;26.42929124548149;0.08908615691189888;low;2
